./accounts/forms.py:5:1: E302 expected 2 blank lines, found 1
./accounts/forms.py:16:1: E302 expected 2 blank lines, found 1
./accounts/forms.py:33:10: W292 no newline at end of file
./cbt/tests/test_models.py:90:80: E501 line too long (84 > 79 characters)
./cbt/tests/test_models.py:100:80: E501 line too long (83 > 79 characters)
./cbt/tests/test_models.py:122:80: E501 line too long (165 > 79 characters)
./cbt/tests/test_models.py:188:80: E501 line too long (86 > 79 characters)
./cbt/tests/test_models.py:211:80: E501 line too long (88 > 79 characters)
./cbt/tests/test_models.py:250:80: E501 line too long (84 > 79 characters)
./cbt/tests/test_models.py:257:80: E501 line too long (85 > 79 characters)
./cbt/tests/test_models.py:279:80: E501 line too long (84 > 79 characters)
./config/settings/common.py:84:80: E501 line too long (91 > 79 characters)
./config/settings/common.py:87:80: E501 line too long (81 > 79 characters)
./config/settings/common.py:90:80: E501 line too long (82 > 79 characters)
./config/settings/common.py:93:80: E501 line too long (83 > 79 characters)
./config/settings/development.py:5:1: F403 'from config.settings.common import *' used; unable to detect undefined names
./config/settings/development.py:17:17: F405 'BASE_DIR' may be undefined, or defined from star imports: config.settings.common
./config/settings/development.py:35:80: E501 line too long (95 > 79 characters)
./config/settings/development.py:36:5: E116 unexpected indentation (comment)
./config/settings/development.py:36:80: E501 line too long (81 > 79 characters)
./config/settings/development.py:37:9: E116 unexpected indentation (comment)
./config/settings/development.py:38:9: E116 unexpected indentation (comment)
./config/settings/development.py:38:80: E501 line too long (88 > 79 characters)
./config/settings/development.py:39:9: E116 unexpected indentation (comment)
./config/settings/development.py:39:80: E501 line too long (86 > 79 characters)
./config/settings/development.py:44:5: E116 unexpected indentation (comment)
./config/settings/development.py:44:80: E501 line too long (84 > 79 characters)
./config/settings/development.py:45:5: E116 unexpected indentation (comment)
./config/settings/production.py:3:1: F403 'from config.settings.common import *' used; unable to detect undefined names
./config/settings/production.py:10:14: F405 'MIDDLEWARE' may be undefined, or defined from star imports: config.settings.common
./config/settings/production.py:13:15: F405 'BASE_DIR' may be undefined, or defined from star imports: config.settings.common
./config/settings/production.py:46:4: W292 no newline at end of file
./config/settings/production.py:46:80: E501 line too long (136 > 79 characters)
./config/utils.py:8:1: W191 indentation contains tabs
./config/utils.py:8:1: E101 indentation contains mixed spaces and tabs
./config/utils.py:8:2: E116 unexpected indentation (comment)
./config/utils.py:11:1: W191 indentation contains tabs
./config/utils.py:11:1: E101 indentation contains mixed spaces and tabs
./config/utils.py:11:2: E116 unexpected indentation (comment)
./config/utils.py:14:1: W191 indentation contains tabs
./config/utils.py:14:1: E101 indentation contains mixed spaces and tabs
./config/utils.py:14:2: E116 unexpected indentation (comment)
./config/utils.py:15:1: W191 indentation contains tabs
./config/utils.py:15:1: E101 indentation contains mixed spaces and tabs
./config/utils.py:15:2: E116 unexpected indentation (comment)
./config/utils.py:20:1: W191 indentation contains tabs
./config/utils.py:20:1: E101 indentation contains mixed spaces and tabs
./config/utils.py:20:2: E116 unexpected indentation (comment)
./config/utils.py:33:6: W292 no newline at end of file
./manage.py:9:80: E501 line too long (82 > 79 characters)
./self_enquiry/__init__.py:1:1: F401 '.apps.SelfEnquiryConfig' imported but unused
./self_enquiry/admin.py:9:80: E501 line too long (96 > 79 characters)
./self_enquiry/admin.py:12:80: E501 line too long (102 > 79 characters)
./self_enquiry/admin.py:19:80: E501 line too long (116 > 79 characters)
./self_enquiry/admin.py:21:80: E501 line too long (123 > 79 characters)
./self_enquiry/admin.py:26:80: E501 line too long (136 > 79 characters)
./self_enquiry/admin.py:32:80: E501 line too long (120 > 79 characters)
./self_enquiry/admin.py:37:80: E501 line too long (101 > 79 characters)
./self_enquiry/admin.py:64:80: E501 line too long (106 > 79 characters)
./self_enquiry/admin.py:67:80: E501 line too long (102 > 79 characters)
./self_enquiry/admin.py:73:80: E501 line too long (116 > 79 characters)
